Time,Open,High,Low,Last,Change,Volume
05/29/19,187.1,192.39,185.0401,189.86,1.16,11968600
05/28/19,191.2,195,187.85,188.7,-1.93,10312900
05/24/19,199.83,199.98,188.7505,190.63,-4.86,14136500
05/23/19,186.98,199.465,186.22,195.49,2.76,26547100
05/22/19,199.1,203.94,191.78,192.73,-12.35,18685100
05/21/19,199.5,207.4,196.04,205.08,-0.28,18003800
05/20/19,202.8,206,195.25,205.36,-5.67,20526100
05/17/19,221.96,222.24,208.92,211.03,-17.3,17786600
05/16/19,229.49,231,226.5,228.33,-3.62,7483200
05/15/19,229.32,232.44,225.25,231.95,-0.36000000000001,7295900
05/14/19,229.3,234.5,228,232.31,5.3,7252400
05/13/19,232.01,232.47,224.5,227.01,-12.51,10834700
05/10/19,239.75,241.99,236.02,239.52,-2.46,7008300
05/09/19,242,243.68,236.9434,241.98,-2.86,6711300
05/08/19,246.94,250.599,244.2,244.84,-2.22,6176400
05/07/19,256.8,257.21,245.1,247.06,-8.28,10131400
05/06/19,250.02,258.3499,248.5,255.34,0.31,10833900
05/03/19,243.86,256.61,243.49,255.03,10.93,23706700
05/02/19,244.75,247.13,237.72,244.1,10.09,18159300
05/01/19,238.85,240,231.5,234.01,-4.68,10704300
04/30/19,242.06,244.21,237,238.69,-2.78,9464600
04/29/19,235.86,243.98,232.17,241.47,6.33,16714400
04/26/19,246.5,246.68,231.13,235.14,-12.49,22360700
04/25/19,255,259,246.07,247.63,-11.03,21849300
04/24/19,263.85,265.32,258,258.66,-5.24,10727400
04/23/19,260.15,265.6,255.75,263.9,1.15,10943800
04/22/19,269,269.68,262.48,262.75,-10.51,12147100
04/18/19,271.23,274.84,269.75,273.26,2.03,5876300
04/17/19,274.75,274.79,268.535,271.23,-2.13,5126400
04/16/19,265.75,275,264.72,273.36,6.98,7272900
04/15/19,268.63,268.88,258.63,266.38,-1.32,10038500
04/12/19,270.22,271.95,266.83,267.7,-0.72000000000003,6745900
04/11/19,268.3,270.5,265.6,268.42,-7.64,9835900
04/10/19,276.74,278.38,272.8925,276.06,3.75,7061300
04/09/19,271.65,275,269.61,272.31,-0.88999999999999,5904000
04/08/19,277.69,281.16,270.44,273.2,-1.76,10410400
04/05/19,269.86,276.1,266.11,274.96,7.18,13038200
04/04/19,261.89,271.2,260.59,267.78,-24.03,23720700
04/03/19,287.32,296.17,287.17,291.81,5.93,7929800
04/02/19,288.3,289.44,283.88,285.88,-3.3,5478900
04/01/19,282.62,289.2,281.281,289.18,9.32,8110400
03/29/19,278.7,280.16,274.5,279.86,1.24,5991300
03/28/19,277.16,280.33,275.1,278.62,3.79,6774000
03/27/19,268.75,275.37,268.1838,274.83,7.06,8779100
03/26/19,264.44,270.26,264.43,267.77,7.35,7350900
03/25/19,259.71,263.18,254.46,260.42,-4.11,10215000
03/22/19,272.58,272.8,264,264.53,-9.49,8745600
03/21/19,272.6,276.45,268.45,274.02,0.41999999999996,5947000
03/20/19,269.69,274.97,266.3,273.6,6.13,6908200
03/19/19,267.5,273.3,263.46,267.47,-2.02,11800600
03/18/19,276,278.05,267.3,269.49,-5.94,10280900
03/15/19,283.51,283.7244,274.4,275.43,-14.53,14785500
03/14/19,292.45,295.39,288.29,289.96,1,7103400
03/13/19,283.9,291.99,282.7,288.96,5.6,6844700
03/12/19,286.49,288.07,281.06,283.36,-7.56,7504100
03/11/19,283.52,291.28,280.5,290.92,6.78,7392200
03/08/19,276.91,285.59,275.89,284.14,7.55,8819600
03/07/19,278.84,284.7,274.25,276.59,0.34999999999997,9442400
03/06/19,276.48,281.5058,274.39,276.24,-0.30000000000001,10335400
03/05/19,282,284,270.1,276.54,-8.82,18764700
03/04/19,298.12,299,282.78,285.36,-9.43,17096800
03/01/19,306.94,307.13,291.9,294.79,-25.09,22911300
02/28/19,318.92,320,310.81,319.88,5.14,10520600
02/27/19,301.78,316.295,300.55,314.74,16.88,11183900
02/26/19,292.22,302.01,288.77,297.86,-0.90999999999997,8582500
02/25/19,297.91,302.9,297,298.77,4.06,6626500
02/22/19,294.49,296.5,292.1,294.71,3.48,5740500
02/21/19,301.81,303.24,290.5,291.23,-11.33,8909100
02/20/19,304.41,306.3,299,302.56,-3.08,7142100
02/19/19,306.56,311.54,305.47,305.64,-2.24,4168400
02/15/19,304.5,308,303.9,307.88,4.11,3904900
02/14/19,303.38,306.77,301,303.77,-4.4,5201300
02/13/19,312.35,312.75,305.57,308.17,-3.64,5141600
02/12/19,316.2,318.19,309.62,311.81,-1.03,5517500
02/11/19,311.6,318.6,310.5,312.84,7.04,7129700
02/08/19,306.83,307.445,298.5,305.8,-1.71,5844200
02/07/19,313.3,314.7,303,307.51,-9.71,6520600
02/06/19,319.59,324.24,315.62,317.22,-4.13,5038500
02/05/19,312.49,322.44,312.25,321.35,8.46,6742700
02/04/19,312.98,315.3,301.88,312.89,0.68000000000001,7352000
02/01/19,305.42,316.1,303.5,312.21,5.19,7283400
01/31/19,301,311.56,294,307.02,-1.75,12569200
01/30/19,300.45,309,298.49,308.77,11.31,11250300
01/29/19,295.27,298.56,291.8,297.46,1.08,4621600
01/28/19,292.91,297.46,287.75,296.38,-0.66000000000003,6423200
01/25/19,294.39,298.52,289.55,297.04,5.53,7258000
01/24/19,283.03,293.68,279.28,291.51,3.92,8012100
01/23/19,292.5,294.5,281.69,287.59,-11.33,12529900
01/22/19,304.82,308,295.5,298.92,-3.34,12066700
01/18/19,323,327.13,299.73,302.26,-45.05,24150700
01/17/19,346.21,351.5,344.15,347.31,1.26,3676700
01/16/19,344.78,352,343.5,346.05,1.62,4691700
01/15/19,335,348.8,334.5,344.43,10.03,6056500
01/14/19,342.38,342.5,334,334.4,-12.86,5247200
01/11/19,342.09,348.41,338.77,347.26,2.29,5039000
01/10/19,334.4,345.39,331.79,344.97,6.4400000000001,6056300
01/09/19,335.5,343.5,331.47,338.53,3.1799999999999,5432900
01/08/19,341.96,344.01,327.02,335.35,0.39000000000004,7008500
01/07/19,321.72,336.74,317.75,334.96,17.27,7551200
01/04/19,306,318,302.73,317.69,17.33,7394100
01/03/19,307,309.4,297.38,300.36,-9.76,6965100
01/02/19,306.1,315.13,298.8,310.12,-22.68,11658600
"Downloaded from Barchart.com as of 05-30-2019 04:05am CDT"
